json_path,img_path,label_c,label_u,label_w,label_p,label_a,bbox_coord
../skintelligent-1-sep-2019/RS_Clean images/25-6822587-4140ca9f987bd29721ccdc841dc74235.json,RS_Clean images_cropped/25-6822587-4140ca9f987bd29721ccdc841dc74235.jpg,1,2,1,2,1,[  2.92397519   0.         326.01466612 340.           0.99998403]
../skintelligent-1-sep-2019/RS_Clean images/106611-7137486-e2abedc848112f006edb195b42acb109.json,RS_Clean images_cropped/106611-7137486-e2abedc848112f006edb195b42acb109.jpg,1,3,2,2,1,"[1.03195000e-01 0.00000000e+00 3.40000000e+02 3.40000000e+02
 9.99999762e-01]"
../skintelligent-1-sep-2019/fine lines/Dysport-before-7202203-3579967-T1530516974.397.json,Google_Clean images_cropped/fine lines/Dysport-before-7202203-3579967-T1530516974.397.jpg,1,1,2,1,1,[  0.           0.         330.         492.80161419   0.9999994 ]
../skintelligent-1-sep-2019/sagging skin/63_left.json,Google_Clean images_cropped/sagging skin/63_left.png,1,2,3,2,1,
../skintelligent-1-sep-2019/fine lines/Dysport-after-5624210-3214111.json,Google_Clean images_cropped/fine lines/Dysport-after-5624210-3214111.png,1,1,1,1,1,[ 23.67952354   0.         279.12289082 340.           0.99999821]
../skintelligent-1-sep-2019/RS_Clean images/237-7357991-b0f7a6c3f5e0ed44054181e1af850ccf.json,RS_Clean images_cropped/237-7357991-b0f7a6c3f5e0ed44054181e1af850ccf.jpg,1,1,1,1,1,[  0.           0.         281.58283219 340.           0.99999797]
../skintelligent-1-sep-2019/RS_Clean images/25-7107370-12caf1685f6d54767b504784e651859d.json,RS_Clean images_cropped/25-7107370-12caf1685f6d54767b504784e651859d.jpg,2,1,2,1,1,[  1.12371265   0.         268.48024391 377.           0.99999797]
../skintelligent-1-sep-2019/RS_Clean images/25-2960377-cfd2667144d4087c4fd47456fd1fde18.json,RS_Clean images_cropped/25-2960377-cfd2667144d4087c4fd47456fd1fde18.jpg,2,1,2,1,1,[  0.           0.         340.         340.           0.99730206]
../skintelligent-1-sep-2019/RS_Clean images/106611-6954598-3ac86d083d90f8b2fe573ee352c8d7b8.json,RS_Clean images_cropped/106611-6954598-3ac86d083d90f8b2fe573ee352c8d7b8.jpg,1,3,3,2,1,[ 24.21314747   0.         325.         510.           0.99989164]
../skintelligent-1-sep-2019/RS_Clean images/237-635073-dc1d114eeaf42492d3910f29b8f21062.json,RS_Clean images_cropped/237-635073-dc1d114eeaf42492d3910f29b8f21062.jpg,3,1,2,2,1,[  0.           0.         324.93183137 447.23955418   0.99894899]
../skintelligent-1-sep-2019/RS_Clean images/106611-7188312-4168a706518f98a1b4355de3cddb859c.json,RS_Clean images_cropped/106611-7188312-4168a706518f98a1b4355de3cddb859c.jpg,3,1,3,2,1,[ 64.43078469   0.         273.93983936 297.64758138   0.99914122]
../skintelligent-1-sep-2019/RS_Clean images/25-6306406-a108352381bb214da32067d49c83339b.json,RS_Clean images_cropped/25-6306406-a108352381bb214da32067d49c83339b.jpg,1,2,2,2,1,[ 12.43846576   0.         340.         340.           0.999933  ]
../skintelligent-1-sep-2019/RS_Clean images/25-2847806-d2318fb5ba281b24f2f1b59fecc84b35.json,RS_Clean images_cropped/25-2847806-d2318fb5ba281b24f2f1b59fecc84b35.jpg,1,1,1,2,1,[ 16.94798799   0.         314.33635233 340.           0.99855059]
../skintelligent-1-sep-2019/RS_Clean images/25-8889561-f0e40f0964104039608302f8ae0fed06.json,RS_Clean images_cropped/25-8889561-f0e40f0964104039608302f8ae0fed06.jpg,1,1,1,2,1,[  0.           0.         125.         138.           0.99941921]
../skintelligent-1-sep-2019/skin tone and uneveness/114_left.json,Google_Clean images_cropped/skin tone and uneveness/114_left.png,1,1,1,2,1,[  8.77315928   0.         322.11350088 441.635228     0.9999212 ]
../skintelligent-1-sep-2019/RS_Clean images/25-1966587-d9786234f816765ce8954f99a3c9e5e2.json,RS_Clean images_cropped/25-1966587-d9786234f816765ce8954f99a3c9e5e2.jpg,3,2,1,2,1,[ 33.74839413   0.         281.93552731 340.           0.99994993]
../skintelligent-1-sep-2019/RS_Clean images/25-3443879-394a04a44f830bec9aa0742636c2c15a.json,RS_Clean images_cropped/25-3443879-394a04a44f830bec9aa0742636c2c15a.jpg,1,1,1,2,1,[ 27.97414554   0.         340.         449.           0.99997222]
../skintelligent-1-sep-2019/RS_Clean images/25-7437854-452d8d5ff696cd165d7daa1109560d4d.json,RS_Clean images_cropped/25-7437854-452d8d5ff696cd165d7daa1109560d4d.jpg,1,1,1,1,1,[ 33.92067108   0.         297.85348358 340.           0.99997365]
../skintelligent-1-sep-2019/pigmentation/58_left.json,Google_Clean images_cropped/pigmentation/58_left.png,1,3,1,3,1,"[1.57095214e+02 0.00000000e+00 1.00000000e+03 1.12264016e+03
 9.99999285e-01]"
../skintelligent-1-sep-2019/RS_Clean images/106611-8729091-c9cbfe147aad0e45ea0311158877a64f.json,RS_Clean images_cropped/106611-8729091-c9cbfe147aad0e45ea0311158877a64f.jpg,1,1,1,1,1,[  0.           0.         340.         318.           0.99865413]
../skintelligent-1-sep-2019/RS_Clean images/25-506556-b32b800b8fa0f9277297dce88646e701.json,RS_Clean images_cropped/25-506556-b32b800b8fa0f9277297dce88646e701.jpg,1,2,2,3,1,[  0.           0.         340.         462.02493368   0.99520564]
../skintelligent-1-sep-2019/RS_Clean images/25-8943964-504d9d39ddaf2ddf1ad1ed29883263e9.json,RS_Clean images_cropped/25-8943964-504d9d39ddaf2ddf1ad1ed29883263e9.jpg,1,2,2,3,1,[ 71.00151838  21.04420775 245.67695698 267.97237755   0.99996901]
../skintelligent-1-sep-2019/under eye bags/Eye-Bags-Treatment-before-4317043-2929220-T1487268926.491.json,Google_Clean images_cropped/under eye bags/Eye-Bags-Treatment-before-4317043-2929220-T1487268926.491.png,1,3,2,1,1,[ 36.82502655   0.         304.87261986 370.40463679   0.99869329]
../skintelligent-1-sep-2019/RS_Clean images/106611-7810210-3d475dfb46474c0b6f07901a8dae4518.json,RS_Clean images_cropped/106611-7810210-3d475dfb46474c0b6f07901a8dae4518.jpg,1,1,1,1,1,[  0.           0.         170.         170.           0.99875164]
../skintelligent-1-sep-2019/RS_Clean images/237-8443117-897b19ba5a89df6b27c130e1b6b13d94.json,RS_Clean images_cropped/237-8443117-897b19ba5a89df6b27c130e1b6b13d94.jpg,1,2,1,1,1,[ 81.59857817   0.         313.0489593  333.78384537   0.99999964]
../skintelligent-1-sep-2019/RS_Clean images/106611-6426004-7ac6c470d180aba698b4d5151c5e884b.json,RS_Clean images_cropped/106611-6426004-7ac6c470d180aba698b4d5151c5e884b.jpg,1,1,1,3,2,[ 40.54393004   0.         299.60958799 340.           0.99995697]
../skintelligent-1-sep-2019/RS_Clean images/106611-8221335-7ec9d4bd57c5d7b05da00d1f43d8edb4.json,RS_Clean images_cropped/106611-8221335-7ec9d4bd57c5d7b05da00d1f43d8edb4.jpg,1,2,1,1,1,[  0.           0.         220.         293.72765841   0.99992347]
../skintelligent-1-sep-2019/RS_Clean images/106611-6309507-48acc8a27891bb7bb432d646a72e3a03.json,RS_Clean images_cropped/106611-6309507-48acc8a27891bb7bb432d646a72e3a03.jpg,2,1,2,2,1,[ 66.12530796   0.         258.64435663 274.37298139   0.99822241]
../skintelligent-1-sep-2019/sagging skin/65_right.json,Google_Clean images_cropped/sagging skin/65_right.png,2,3,2,3,1,[ 18.58301556   0.         368.         693.59962912   0.99998641]
../skintelligent-1-sep-2019/RS_Clean images/25-7117019-cd98b8c10076c0c8720267e381135f0b.json,RS_Clean images_cropped/25-7117019-cd98b8c10076c0c8720267e381135f0b.jpg,2,1,2,1,1,
../skintelligent-1-sep-2019/RS_Clean images/25-1100408-e2638f99b808cce7c07c735d31cf5bce.json,RS_Clean images_cropped/25-1100408-e2638f99b808cce7c07c735d31cf5bce.jpg,1,3,2,2,1,[  0.           0.         340.         406.           0.99997008]
../skintelligent-1-sep-2019/fine lines/Dysport-before-4480567-2954678-T1489517249.755.json,Google_Clean images_cropped/fine lines/Dysport-before-4480567-2954678-T1489517249.755.png,1,1,3,1,1,[ 13.18834954   0.         340.         372.           0.99999499]
../skintelligent-1-sep-2019/RS_Clean images/25-2236200-a73ad110723a8466592c29ddc8f28e9f.json,RS_Clean images_cropped/25-2236200-a73ad110723a8466592c29ddc8f28e9f.jpg,1,2,2,2,1,[  0.           0.         339.94318966 340.           0.99998844]
../skintelligent-1-sep-2019/fine lines/Dysport-before-3787463-2847978.json,Google_Clean images_cropped/fine lines/Dysport-before-3787463-2847978.png,1,1,3,1,1,[ 61.94219176   0.         262.84978231 301.20170332   0.99981803]
../skintelligent-1-sep-2019/RS_Clean images/215-5024786-950a9f94a2ead8b281ef4b2a7692d93a.json,RS_Clean images_cropped/215-5024786-950a9f94a2ead8b281ef4b2a7692d93a.jpg,2,1,2,2,1,
../skintelligent-1-sep-2019/fine lines/Dysport-after-5997170-3300693.json,Google_Clean images_cropped/fine lines/Dysport-after-5997170-3300693.png,1,1,1,3,1,[ 65.54662843   0.         275.02582412 340.           0.99974054]
../skintelligent-1-sep-2019/RS_Clean images/106611-6923068-9b468c02c79a274833408e3778ee7d5f.json,RS_Clean images_cropped/106611-6923068-9b468c02c79a274833408e3778ee7d5f.jpg,2,1,2,1,1,[ 47.21184845   0.         284.93258171 300.92082068   0.99999952]
../skintelligent-1-sep-2019/sagging skin/Facelift-after-248901.json,Google_Clean images_cropped/sagging skin/Facelift-after-248901.jpg,3,2,2,3,1,[ 54.42873981  52.56362551 283.08278725 392.00592944   0.99917358]
../skintelligent-1-sep-2019/RS_Clean images/106611-7176880-e128ffa3b34e2777018c5d109949492e.json,RS_Clean images_cropped/106611-7176880-e128ffa3b34e2777018c5d109949492e.jpg,2,1,1,1,1,[ 30.02198569   0.         306.3376348  395.13133366   0.99999595]
../skintelligent-1-sep-2019/RS_Clean images/25-8229275-058ef90ecd90edd302c8067de9f89bd2.json,RS_Clean images_cropped/25-8229275-058ef90ecd90edd302c8067de9f89bd2.jpg,1,2,1,1,1,[ 25.77361309   0.         256.94814798 296.           0.99991786]
../skintelligent-1-sep-2019/RS_Clean images/25-7210573-94752792174bc97e848db7d8627981b2.json,RS_Clean images_cropped/25-7210573-94752792174bc97e848db7d8627981b2.jpg,2,3,1,1,1,[ 73.10506031   0.         265.37993123 309.11661306   0.99974626]
../skintelligent-1-sep-2019/RS_Clean images/237-8158466-7abf2837e4dec4dd6aeca7e8259f1344.json,RS_Clean images_cropped/237-8158466-7abf2837e4dec4dd6aeca7e8259f1344.jpg,3,3,3,1,1,[ 62.95163049   0.         305.26970841 340.           0.99991548]
../skintelligent-1-sep-2019/RS_Clean images/237-8525337-a116d31dda7836efa9710228362c8fc8.json,RS_Clean images_cropped/237-8525337-a116d31dda7836efa9710228362c8fc8.jpg,3,2,3,1,1,[ 35.15488313   0.         276.57042557 340.           0.99996698]
../skintelligent-1-sep-2019/RS_Clean images/106611-8964780-c615a64f6d1c96c39a894ca093c7b33a.json,RS_Clean images_cropped/106611-8964780-c615a64f6d1c96c39a894ca093c7b33a.jpg,2,1,1,2,1,[  0.           0.         340.         476.           0.99999237]
../skintelligent-1-sep-2019/sagging skin/117_right.json,Google_Clean images_cropped/sagging skin/117_right.png,1,1,1,2,1,[ 16.23830498   0.         472.94690313 543.           0.99917394]
../skintelligent-1-sep-2019/RS_Clean images/106611-8506090-e76178a2db966e803d6f03a6f0a41d75.json,RS_Clean images_cropped/106611-8506090-e76178a2db966e803d6f03a6f0a41d75.jpg,1,2,1,3,1,[  1.45752245   0.         284.         431.           0.99977952]
../skintelligent-1-sep-2019/RS_Clean images/25-2141576-a3ef89d96afb24e7e7a4409fa99e2ac6.json,RS_Clean images_cropped/25-2141576-a3ef89d96afb24e7e7a4409fa99e2ac6.jpg,1,1,1,1,1,[  0.           0.         230.         360.           0.99993265]
../skintelligent-1-sep-2019/RS_Clean images/25-3056192-35698d85ec2115b7d3a54fff6cea23d6.json,RS_Clean images_cropped/25-3056192-35698d85ec2115b7d3a54fff6cea23d6.jpg,1,1,2,1,1,[ 33.92084632  30.37066438 295.59265622 340.           0.97816294]
../skintelligent-1-sep-2019/RS_Clean images/25-5668778-2b6b968f688869eb999e4124a93c0955.json,RS_Clean images_cropped/25-5668778-2b6b968f688869eb999e4124a93c0955.jpg,2,1,1,1,1,[ 54.32848859   0.         284.82863986 334.43173855   0.9999373 ]
../skintelligent-1-sep-2019/sagging skin/Facelift-after-248891.json,Google_Clean images_cropped/sagging skin/Facelift-after-248891.jpg,3,2,3,2,1,[ 39.73461138  18.57366399 304.72312763 409.86076849   0.99862957]
../skintelligent-1-sep-2019/RS_Clean images/25-6232991-814a1a2ebcfab5d8920cb8dd183e35d6.json,RS_Clean images_cropped/25-6232991-814a1a2ebcfab5d8920cb8dd183e35d6.jpg,1,1,1,2,1,[ 32.64660426   0.         302.19762039 340.           0.99533373]
../skintelligent-1-sep-2019/brightness/Blue-Peel-before-8042704-3834220.json,Google_Clean images_cropped/brightness/Blue-Peel-before-8042704-3834220.png,1,2,3,3,1,[ 44.98844565   0.         283.79981759 317.67447454   0.9999944 ]
../skintelligent-1-sep-2019/under eye bags/Eye-Bags-Treatment-after-406010.json,Google_Clean images_cropped/under eye bags/Eye-Bags-Treatment-after-406010.jpg,1,1,1,1,1,[  7.40171228   0.         321.6378139  408.           0.9998154 ]
../skintelligent-1-sep-2019/acne/143_right.json,Google_Clean images_cropped/acne/143_right.png,1,1,1,2,2,[  0.           0.         552.62939523 640.95937724   0.99882334]
../skintelligent-1-sep-2019/RS_Clean images/25-5668778-95722c0fdfbb6c24e3e6f8eb1ebfd9f9.json,RS_Clean images_cropped/25-5668778-95722c0fdfbb6c24e3e6f8eb1ebfd9f9.jpg,2,1,1,2,1,[ 50.7793624    0.         298.02162171 338.94465695   0.99993908]
../skintelligent-1-sep-2019/RS_Clean images/106611-8506067-2db39fc0f9bce18205a121b295d2d638.json,RS_Clean images_cropped/106611-8506067-2db39fc0f9bce18205a121b295d2d638.jpg,2,1,3,1,1,[  0.           0.         272.         401.           0.99995029]
../skintelligent-1-sep-2019/RS_Clean images/237-368982-fc139ac552859e002b11ebbe430ce270.json,RS_Clean images_cropped/237-368982-fc139ac552859e002b11ebbe430ce270.jpg,3,1,3,1,1,[  0.           0.         276.         386.           0.99930549]
../skintelligent-1-sep-2019/under eye bags/454584-3446041.json,Google_Clean images_cropped/under eye bags/454584-3446041.jpg,1,1,1,1,1,[ 12.96751035   0.         320.36043076 366.           0.9999876 ]
../skintelligent-1-sep-2019/RS_Clean images/106611-5100642-365984ffacc56be52117c00f88cdaf9a.json,RS_Clean images_cropped/106611-5100642-365984ffacc56be52117c00f88cdaf9a.jpg,1,2,1,1,1,[ 15.93099351   0.         311.32977982 333.76522778   0.99999988]
../skintelligent-1-sep-2019/sagging skin/51_right.json,Google_Clean images_cropped/sagging skin/51_right.png,2,2,2,2,1,[  0.58313371   0.         360.         507.67616828   0.99992096]
../skintelligent-1-sep-2019/RS_Clean images/237-3418005-29611d730820b655dc962576e55574ca.json,RS_Clean images_cropped/237-3418005-29611d730820b655dc962576e55574ca.jpg,2,2,3,2,1,[  0.           0.         340.         340.           0.99999475]
../skintelligent-1-sep-2019/RS_Clean images/25-8827509-7b13740d130a89b768596d9943b085c0.json,RS_Clean images_cropped/25-8827509-7b13740d130a89b768596d9943b085c0.jpg,2,2,1,3,1,[108.81126086   0.         282.48240426 206.42806106   0.99999535]
../skintelligent-1-sep-2019/RS_Clean images/25-429560-0a4b56332bb479553174f8a3ae94cf03.json,RS_Clean images_cropped/25-429560-0a4b56332bb479553174f8a3ae94cf03.jpg,1,1,1,2,1,[ 52.04881526   0.         259.47085272 226.           0.99958318]
../skintelligent-1-sep-2019/crows feet/efa11aede3ed48c1a391d4df335737bsdffdse.json,Google_Clean images_cropped/crows feet/efa11aede3ed48c1a391d4df335737bsdffdse.jpg,3,1,3,1,1,[  6.93778947   0.         275.         376.02885853   0.99982697]
../skintelligent-1-sep-2019/RS_Clean images/25-2847806-fd9ddda36c8c2521cd1ead01b7db982e.json,RS_Clean images_cropped/25-2847806-fd9ddda36c8c2521cd1ead01b7db982e.jpg,1,1,1,2,1,[ 16.85868571   0.         312.84525379 340.           0.99992776]
../skintelligent-1-sep-2019/sagging skin/Facelift-before-250984.json,Google_Clean images_cropped/sagging skin/Facelift-before-250984.jpg,2,3,2,3,1,[ 61.40667892   0.         275.12073755 255.           0.99980837]
../skintelligent-1-sep-2019/brightness/Cosmetic-Acupuncture-before-1262680-1980432.json,Google_Clean images_cropped/brightness/Cosmetic-Acupuncture-before-1262680-1980432.png,2,2,3,1,1,[ 69.14667334   0.         279.18164982 289.95898572   0.99992263]
../skintelligent-1-sep-2019/wrinkles/Wrinkle-Treatment-before-8011100-3822598.json,Google_Clean images_cropped/wrinkles/Wrinkle-Treatment-before-8011100-3822598.png,1,1,2,1,1,[ 25.47327895   0.         321.33693947 340.           0.99985993]
../skintelligent-1-sep-2019/RS_Clean images/25-5900138-f13b7bf51d4293fbbbdc226d1fbb382c.json,RS_Clean images_cropped/25-5900138-f13b7bf51d4293fbbbdc226d1fbb382c.jpg,2,2,1,1,1,[ 46.4302551    7.59613191 280.86360421 340.           0.99968457]
../skintelligent-1-sep-2019/RS_Clean images/106611-5006629-1ff1549585b364444810deaaa4257ad5.json,RS_Clean images_cropped/106611-5006629-1ff1549585b364444810deaaa4257ad5.jpg,2,1,1,1,1,[  0.           0.         253.         253.           0.99991322]
../skintelligent-1-sep-2019/RS_Clean images/25-8564410-31c7e6ff39bafd1d458b5f6f2c178468.json,RS_Clean images_cropped/25-8564410-31c7e6ff39bafd1d458b5f6f2c178468.jpg,1,1,1,1,1,[  1.27129232   0.         323.         448.88118218   0.99998653]
../skintelligent-1-sep-2019/RS_Clean images/25-4489349-b7d4c46f5b5650bdf660b27019f51996.json,RS_Clean images_cropped/25-4489349-b7d4c46f5b5650bdf660b27019f51996.jpg,2,3,3,1,1,[  5.95951057   0.         215.33530222 215.           0.99381292]
../skintelligent-1-sep-2019/RS_Clean images/106611-8506085-42d57d49c4d6c1741a85bc28ede49919.json,RS_Clean images_cropped/106611-8506085-42d57d49c4d6c1741a85bc28ede49919.jpg,1,2,3,1,1,[  0.           0.         340.         505.           0.99933112]
../skintelligent-1-sep-2019/RS_Clean images/237-8505603-fca5af3166c395103011ba79e10261ce.json,RS_Clean images_cropped/237-8505603-fca5af3166c395103011ba79e10261ce.jpg,1,2,2,1,1,[ 45.24245704   0.         283.08168267 310.35913546   0.99857473]
../skintelligent-1-sep-2019/RS_Clean images/237-3543684-64c5727166635d88bd76f5cc06ef4676.json,RS_Clean images_cropped/237-3543684-64c5727166635d88bd76f5cc06ef4676.jpg,3,3,3,1,1,
../skintelligent-1-sep-2019/brightness/110_right.json,Google_Clean images_cropped/brightness/110_right.png,1,1,1,1,1,[ 20.39735072   0.         371.98470312 456.88981727   0.99992609]
../skintelligent-1-sep-2019/RS_Clean images/25-7218865-b094e05e097971d18b7548d3fe54a5a8.json,RS_Clean images_cropped/25-7218865-b094e05e097971d18b7548d3fe54a5a8.jpg,2,2,1,2,1,
../skintelligent-1-sep-2019/RS_Clean images/25-2236212-a1867233fc6715525fc5e7bfd4e0b6d3.json,RS_Clean images_cropped/25-2236212-a1867233fc6715525fc5e7bfd4e0b6d3.jpg,1,1,1,2,1,[  0.           0.         322.54694669 340.           0.9995752 ]
../skintelligent-1-sep-2019/sagging skin/88_right.json,Google_Clean images_cropped/sagging skin/88_right.png,1,2,2,1,1,[  0.           0.         231.         258.           0.99788386]
../skintelligent-1-sep-2019/sagging skin/Facelift-before-248888.json,Google_Clean images_cropped/sagging skin/Facelift-before-248888.jpg,2,1,2,1,1,[ 40.67799025  29.42056994 292.61180776 418.80828199   0.99999762]
../skintelligent-1-sep-2019/RS_Clean images/25-4746525-d5c0c1f98c512d463e7d1558bb7eb4a9.json,RS_Clean images_cropped/25-4746525-d5c0c1f98c512d463e7d1558bb7eb4a9.jpg,1,2,1,3,1,[ 59.95352991   0.         278.94791282 313.94158429   0.99985957]
../skintelligent-1-sep-2019/RS_Clean images/25-6487442-00db5093c6b3e1b71b9bbe849e25bbcb.json,RS_Clean images_cropped/25-6487442-00db5093c6b3e1b71b9bbe849e25bbcb.jpg,2,2,1,3,1,[  0.           0.         339.12949547 340.           0.99977976]
../skintelligent-1-sep-2019/RS_Clean images/25-6468742-0271988dfd412656028d718be8f67d89.json,RS_Clean images_cropped/25-6468742-0271988dfd412656028d718be8f67d89.jpg,2,3,3,1,1,[ 37.54580724   0.         295.069619   313.40499153   1.        ]
../skintelligent-1-sep-2019/acne/32_right.json,Google_Clean images_cropped/acne/32_right.png,1,1,1,1,1,[  0.           0.         282.         299.           0.99994326]
../skintelligent-1-sep-2019/RS_Clean images/25-7254054-1a71fcc3f72a2c0f934e4f9b9b69463a.json,RS_Clean images_cropped/25-7254054-1a71fcc3f72a2c0f934e4f9b9b69463a.jpg,2,1,2,1,1,[ 98.3679132   18.71436995 224.48712416 221.08228718   0.99991322]
../skintelligent-1-sep-2019/RS_Clean images/237-368982-27e03555299e19f2f022ee9bca21eaa3.json,RS_Clean images_cropped/237-368982-27e03555299e19f2f022ee9bca21eaa3.jpg,2,1,2,2,1,[ 18.86313693   0.         276.         386.           0.99999106]
../skintelligent-1-sep-2019/RS_Clean images/25-7614681-ec7e321149570767f92adfa1da4a4f74.json,RS_Clean images_cropped/25-7614681-ec7e321149570767f92adfa1da4a4f74.jpg,2,2,1,2,1,[ 10.45123704   0.         181.         295.           0.99976128]
../skintelligent-1-sep-2019/RS_Clean images/25-1479000-142df233cfd6318daaf24d5112d0ca52.json,RS_Clean images_cropped/25-1479000-142df233cfd6318daaf24d5112d0ca52.jpg,2,1,2,1,1,[  0.           0.         300.         400.           0.99991322]
../skintelligent-1-sep-2019/fine lines/Dysport-before-311145-993290.json,Google_Clean images_cropped/fine lines/Dysport-before-311145-993290.png,1,1,3,1,1,[ 19.64763207   0.         340.         413.           0.99993396]
../skintelligent-1-sep-2019/RS_Clean images/237-6492739-745ed57e5c9e13d60ecfc88c81b610f3.json,RS_Clean images_cropped/237-6492739-745ed57e5c9e13d60ecfc88c81b610f3.jpg,2,2,2,1,1,[ 16.58723162   0.         329.60205318 340.           0.99998081]
../skintelligent-1-sep-2019/RS_Clean images/25-7108486-17e54dada56d544b2d7f51d64f384ea9.json,RS_Clean images_cropped/25-7108486-17e54dada56d544b2d7f51d64f384ea9.jpg,1,2,1,2,1,[  0.           0.         340.         340.           0.99998534]
../skintelligent-1-sep-2019/RS_Clean images/25-2818089-7d0eea2d0b8d52ad570f3afb4d1221a6.json,RS_Clean images_cropped/25-2818089-7d0eea2d0b8d52ad570f3afb4d1221a6.jpg,2,1,1,3,1,[  0.          0.        325.        325.          0.9999423]
../skintelligent-1-sep-2019/RS_Clean images/25-7314428-e2af81f28bb9e792222272e21980a455.json,RS_Clean images_cropped/25-7314428-e2af81f28bb9e792222272e21980a455.jpg,1,2,1,1,1,[ 27.93066228  11.94769112 214.97177188 314.51480636   0.99974197]
../skintelligent-1-sep-2019/RS_Clean images/237-3153435-3de57e4fd5fcbf3dfd1e2a4147cc10ee.json,RS_Clean images_cropped/237-3153435-3de57e4fd5fcbf3dfd1e2a4147cc10ee.jpg,1,3,1,2,1,[  0.           0.         340.         340.           0.99997354]
../skintelligent-1-sep-2019/acne/10_right.json,Google_Clean images_cropped/acne/10_right.png,1,1,1,1,1,[ 27.82568951   0.         375.         626.27886867   0.99999118]
../skintelligent-1-sep-2019/RS_Clean images/25-7511241-ddf632a1b26ccb559c055fb29f0644f1.json,RS_Clean images_cropped/25-7511241-ddf632a1b26ccb559c055fb29f0644f1.jpg,2,2,1,1,1,[ 55.96512764   0.         284.78913306 290.76465322   0.99995828]
../skintelligent-1-sep-2019/RS_Clean images/25-7196193-0b396cec6dcf1c0d68fc618e7c421ac6.json,RS_Clean images_cropped/25-7196193-0b396cec6dcf1c0d68fc618e7c421ac6.jpg,1,1,1,1,1,[ 72.35096171   0.         271.69065744 293.20403637   0.9999429 ]
../skintelligent-1-sep-2019/fine lines/Dysport-after-3219576-2745822.json,Google_Clean images_cropped/fine lines/Dysport-after-3219576-2745822.png,1,1,1,1,1,[ 45.70534309   0.         279.11386896 340.           0.99999785]
../skintelligent-1-sep-2019/fine lines/Dysport-before-7215750-3582211.json,Google_Clean images_cropped/fine lines/Dysport-before-7215750-3582211.png,1,1,1,1,1,[ 54.61354365   0.         274.79066208 288.6841746    1.        ]
../skintelligent-1-sep-2019/RS_Clean images/25-8840798-8ac7098a00feb103375a2d91db0e9b01.json,RS_Clean images_cropped/25-8840798-8ac7098a00feb103375a2d91db0e9b01.jpg,1,2,2,2,1,[ 21.18336622   0.         335.         449.           0.99999738]
../skintelligent-1-sep-2019/wrinkles/Wrinkle-Treatment-after-4747533-3004994.json,Google_Clean images_cropped/wrinkles/Wrinkle-Treatment-after-4747533-3004994.png,1,1,3,1,1,[ 61.92009482   0.         241.75735087 246.35178204   0.9999907 ]
../skintelligent-1-sep-2019/crows feet/JenniferLawrenceGetty7.json,Google_Clean images_cropped/crows feet/JenniferLawrenceGetty7.jpg,1,1,1,1,1,[260.06160518   0.         633.28301767 497.11399022   0.99334008]
../skintelligent-1-sep-2019/RS_Clean images/25-6133760-fe377eb15889a690c5283e1ebcb56c66.json,RS_Clean images_cropped/25-6133760-fe377eb15889a690c5283e1ebcb56c66.jpg,1,1,1,2,1,[ 25.76291391   0.         308.59269535 340.           0.99997699]
../skintelligent-1-sep-2019/under eye bags/Eye-Bags-Treatment-after-995250-1816684.json,Google_Clean images_cropped/under eye bags/Eye-Bags-Treatment-after-995250-1816684.jpg,1,1,1,1,1,[ 22.28306019   0.         316.60755423 367.92536547   0.99999928]
../skintelligent-1-sep-2019/under eye bags/Eye-Bags-Treatment-before-4805121-3013960.json,Google_Clean images_cropped/under eye bags/Eye-Bags-Treatment-before-4805121-3013960.png,1,2,1,1,1,[ 61.82510282   4.25042194 277.26593174 329.20613323   0.99999917]
../skintelligent-1-sep-2019/wrinkles/Wrinkle-Treatment-after-1198897-1947127.json,Google_Clean images_cropped/wrinkles/Wrinkle-Treatment-after-1198897-1947127.jpg,1,1,2,1,1,[ 20.6217425   14.68407426 279.414454   384.70979118   0.99781668]
../skintelligent-1-sep-2019/RS_Clean images/106611-7194820-91d4077eff723f6457e7358c579dd4f2.json,RS_Clean images_cropped/106611-7194820-91d4077eff723f6457e7358c579dd4f2.jpg,2,1,1,1,1,[ 50.06438725   0.         288.31104852 302.0151415    0.99997699]
../skintelligent-1-sep-2019/sagging skin/28_left.json,Google_Clean images_cropped/sagging skin/28_left.png,1,2,1,1,1,[  0.5907151    0.         141.         216.89967289   0.99971765]
../skintelligent-1-sep-2019/RS_Clean images/237-925602-59d453d6c031af8e63e40003746311cf.json,RS_Clean images_cropped/237-925602-59d453d6c031af8e63e40003746311cf.jpg,2,1,2,1,1,[ 17.91515154   0.         320.10100916 435.84471996   0.99806529]
../skintelligent-1-sep-2019/RS_Clean images/106611-8983192-ea0a81693f029d12cc127169f5adf0e4.json,RS_Clean images_cropped/106611-8983192-ea0a81693f029d12cc127169f5adf0e4.jpg,1,3,3,1,1,[ 78.94827963   0.         270.44150106 225.           0.99990582]
../skintelligent-1-sep-2019/RS_Clean images/237-2490313-1b92ce48e6b0ac85055552d4ac2adddc.json,RS_Clean images_cropped/237-2490313-1b92ce48e6b0ac85055552d4ac2adddc.jpg,3,2,3,3,1,[ 56.85773183   0.         289.28558319 294.35195167   0.99984956]
